Name                  ,birth year ,death year ,sex ,category    ,wikipedia URL
Taylor Swift          ,1989       ,2023       ,f   ,musician    ,https://en.wikipedia.org/wiki/Taylor_Swift
Queen Elizabeth II    ,1926       ,2022       ,f   ,monarch     ,https://en.wikipedia.org/wiki/Elizabeth_II
Thomas Hardy          ,1840       ,1928       ,m   ,writer      ,https://en.wikipedia.org/wiki/Thomas_Hardy
Robert Southey        ,1774       ,1843       ,m   ,poet        ,https://en.wikipedia.org/wiki/Robert_Southey
David Hume            ,1711       ,1776       ,m   ,philosopher ,https://en.wikipedia.org/wiki/David_Hume
King Louis XIV        ,1638       ,1715       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Louis_XIV
Anthony van Dyck      ,1599       ,1641       ,m   ,artist      ,https://en.wikipedia.org/wiki/Anthony_van_Dyck
Queen Elizabeth I     ,1533       ,1603       ,f   ,monarch     ,https://en.wikipedia.org/wiki/Elizabeth_I
Sir Thomas More       ,1478       ,1535       ,m   ,politician  ,https://en.wikipedia.org/wiki/Thomas_More
Mehmed the Conqueror  ,1432       ,1481       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Mehmed_II
Emperor Zhu Di        ,1360       ,1424       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Yongle_Emperor
Giovanni Boccaccio    ,1313       ,1375       ,m   ,writer      ,https://en.wikipedia.org/wiki/Giovanni_Boccaccio
Dante Alighieri       ,1265       ,1321       ,m   ,writer      ,https://en.wikipedia.org/wiki/Dante_Alighieri
Thomas Aquinas        ,1225       ,1274       ,m   ,saint       ,https://en.wikipedia.org/wiki/Thomas_Aquinas
Francis of Assisi     ,1181       ,1226       ,m   ,saint       ,https://en.wikipedia.org/wiki/Francis_of_Assisi
Minamoto no Yoritomo  ,1147       ,1199       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Minamoto_no_Yoritomo
Bernard of Clairvaux  ,1090       ,1153       ,m   ,priest      ,https://en.wikipedia.org/wiki/Bernard_of_Clairvaux
El Cid                ,1043       ,1099       ,m   ,general     ,https://en.wikipedia.org/wiki/El_Cid
Edward the Confessor  ,1003       ,1066       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Edward_the_Confessor
Sweyn Forkbeard       ,963        ,1014       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Sweyn_Forkbeard
Pope John XII         ,930        ,964        ,m   ,priest      ,https://en.wikipedia.org/wiki/Pope_John_XII
King Henry the Fowler ,876        ,936        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Henry_the_Fowler
Methodius             ,815        ,885        ,m   ,priest      ,https://en.wikipedia.org/wiki/Cyril_and_Methodius
Louis the Pious       ,778        ,840        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Louis_the_Pious
Offa of Mercia        ,735        ,796        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Offa_of_Mercia
Charles Martel        ,688        ,741        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Charles_Martel
Cædwalla of Wessex    ,659        ,689        ,m   ,monarch     ,https://en.wikipedia.org/wiki/C%C3%A6dwalla_of_Wessex
Eligius               ,588        ,660        ,m   ,priest      ,https://en.wikipedia.org/wiki/Saint_Eligius
Leander of Seville    ,534        ,600        ,m   ,priest      ,https://en.wikipedia.org/wiki/Leander_of_Seville
Count Belisarius      ,500        ,565        ,m   ,general     ,https://en.wikipedia.org/wiki/Belisarius
Clovis I              ,466        ,511        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Clovis_I
Procopius Anthemius   ,420        ,472        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Anthemius
St. Jerome            ,342        ,420        ,m   ,priest      ,https://en.wikipedia.org/wiki/Jerome
St. Nicholas          ,270        ,343        ,m   ,priest      ,https://en.wikipedia.org/wiki/Saint_Nicholas
Emperor Aurelian      ,214        ,275        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Aurelian
Hippolytus of Rome    ,170        ,235        ,m   ,priest      ,https://en.wikipedia.org/wiki/Hippolytus_of_Rome
Ptolemy               ,100        ,170        ,m   ,scientist   ,https://en.wikipedia.org/wiki/Ptolemy
Plutarch              ,46         ,120        ,m   ,writer      ,https://en.wikipedia.org/wiki/Plutarch
Boudica               ,30         ,61         ,f   ,general     ,https://en.wikipedia.org/wiki/Boudica
Jesus                 ,-6         ,33         ,m   ,religious   ,https://en.wikipedia.org/wiki/Jesus
Augustus Caesar       ,-63        ,14         ,m   ,monarch     ,https://en.wikipedia.org/wiki/Augustus
Cicero                ,-106       ,-43        ,m   ,writer      ,https://en.wikipedia.org/wiki/Cicero
Mithridates VI        ,-134       ,-63        ,m   ,monarch     ,https://en.wikipedia.org/wiki/Mithridates_VI
Attalus III           ,-170       ,-133       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Attalus_III
Cato the Elder        ,-234       ,-149       ,m   ,writer      ,https://en.wikipedia.org/wiki/Cato_the_Elder
Archimedes            ,-287       ,-212       ,m   ,scientist   ,https://en.wikipedia.org/wiki/Archimedes
Lysimachus            ,-361       ,-281       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Lysimachus
